Number_of_Customers_Per_Day,Operating_Hours_Per_Day,Number_of_Employees,Location_Foot_Traffic,Date,Branch,Region,Average_Order_Value_KES,Marketing_Spend_KES,Daily_Revenue_KES
285,14,2,272,02/02/2019,Galleria Mall,Nairobi,884.25,30307.5,305175.6
394,9,11,681,03/02/2019,Kisumu Mega City,Western,1127.25,21880.8,435839.4
98,11,4,228,04/02/2019,Valley Arcade,Nairobi,445.5,51764.4,99060.3
108,12,2,849,05/02/2019,Thika Road Mall,Nairobi,1108.35,63278.55,206051.85
219,16,3,483,06/02/2019,Galleria Mall,Nairobi,885.6,63580.95,287999.55
237,11,13,986,07/02/2019,Kimathi Street,Nairobi CBD,1312.2,12911.4,329628.15
320,13,9,499,08/02/2019,Kimathi Street,Nairobi CBD,683.1,59213.7,255517.2
239,9,8,842,09/02/2019,Kimathi Street,Nairobi CBD,977.4,50130.9,257764.95
495,17,3,933,10/02/2019,Valley Arcade,Nairobi,1281.15,18075.15,614290.5
224,6,3,541,11/02/2019,JKIA Arrival,Nairobi,441.45,5800.95,114988.95
495,12,10,238,12/02/2019,Kisumu Mega City,Western,1286.55,19078.2,565488
100,8,14,627,13/02/2019,Kisumu Mega City,Western,1034.1,61692.3,158950.35
413,11,14,859,14/02/2019,Valley Arcade,Nairobi,406.35,43235.1,210662.1
104,7,7,469,15/02/2019,Thika Road Mall,Nairobi,642.6,49048.2,134356.05
293,14,6,298,16/02/2019,Thika Road Mall,Nairobi,1054.35,18360,306973.8
369,6,11,637,17/02/2019,JKIA Arrival,Nairobi,406.35,48937.5,171653.85
180,11,7,698,18/02/2019,Nyali Centre,Coast,927.45,3210.3,156192.3
356,11,10,213,19/02/2019,Kisumu Mega City,Western,687.15,26177.85,240061.05
184,10,12,794,20/02/2019,Kisumu Mega City,Western,966.6,42809.85,192793.5
70,10,8,304,21/02/2019,JKIA Arrival,Nairobi,383.4,11014.65,40379.85
378,6,11,525,22/02/2019,Nyali Centre,Coast,1220.4,55791.45,495815.85
216,15,11,855,23/02/2019,Kimathi Street,Nairobi CBD,1323,16897.95,304183.35
323,17,10,466,24/02/2019,Kimathi Street,Nairobi CBD,1318.95,44498.7,426921.3
437,10,5,219,25/02/2019,Valley Arcade,Nairobi,1096.2,28154.25,479717.1
138,7,3,366,26/02/2019,JKIA Arrival,Nairobi,469.8,40778.1,77161.95
365,12,13,223,27/02/2019,Galleria Mall,Nairobi,1105.65,8457.75,368471.7
63,8,9,519,28/02/2019,Kimathi Street,Nairobi CBD,361.8,2469.15,36737.55
291,9,5,394,01/03/2019,Valley Arcade,Nairobi,360.45,61518.15,201475.35
314,8,14,494,02/03/2019,Thika Road Mall,Nairobi,665.55,19186.2,231843.6
395,8,10,67,03/03/2019,Galleria Mall,Nairobi,831.6,55571.4,400709.7
102,9,5,119,04/03/2019,Kimathi Street,Nairobi CBD,1117.8,67456.8,191763.45
435,10,9,387,05/03/2019,Valley Arcade,Nairobi,1028.7,15336,439125.3
389,6,10,677,06/03/2019,Kimathi Street,Nairobi CBD,788.4,18890.55,354811.05
141,9,14,641,07/03/2019,Kisumu Mega City,Western,614.25,45198,133132.95
416,17,10,576,08/03/2019,Kisumu Mega City,Western,1347.3,65214.45,639516.6
493,17,11,737,09/03/2019,Kisumu Mega City,Western,769.5,61931.25,457988.85
477,16,5,505,10/03/2019,Kisumu Mega City,Western,795.15,34615.35,386090.55
313,13,2,318,11/03/2019,Valley Arcade,Nairobi,503.55,53946,217831.95
480,15,4,680,12/03/2019,Kimathi Street,Nairobi CBD,1142.1,10330.2,512079.3
84,12,10,860,13/03/2019,JKIA Arrival,Nairobi,1039.5,66006.9,199740.6
255,14,5,237,14/03/2019,Valley Arcade,Nairobi,561.6,65141.55,237470.4
130,10,6,618,15/03/2019,JKIA Arrival,Nairobi,421.2,12181.05,54727.65
469,15,8,760,16/03/2019,Kimathi Street,Nairobi CBD,1026,21157.2,408595.05
99,9,6,578,17/03/2019,Valley Arcade,Nairobi,1000.35,7975.8,119244.15
409,13,5,483,18/03/2019,Galleria Mall,Nairobi,614.25,19323.9,202914.45
437,14,3,337,19/03/2019,Valley Arcade,Nairobi,1300.05,55325.7,557416.35
51,12,3,967,20/03/2019,Capital Centre,Nairobi,490.05,26374.95,51189.3
439,12,14,616,21/03/2019,Galleria Mall,Nairobi,774.9,7196.85,284177.7
103,10,14,548,22/03/2019,Nyali Centre,Coast,1293.3,23988.15,164444.85
155,9,5,490,23/03/2019,Thika Road Mall,Nairobi,762.75,66268.8,197810.1
309,15,11,830,24/03/2019,Galleria Mall,Nairobi,984.15,43002.9,359398.35
359,6,14,352,25/03/2019,Kisumu Mega City,Western,739.8,28879.2,238939.2
240,15,11,136,26/03/2019,Kisumu Mega City,Western,615.6,12366,133647.3
451,15,14,879,27/03/2019,Kimathi Street,Nairobi CBD,1333.8,66586.05,641382.3
267,12,10,487,28/03/2019,Kisumu Mega City,Western,751.95,55649.7,265322.25
93,6,9,590,29/03/2019,JKIA Arrival,Nairobi,1243.35,19969.2,152760.6
211,6,4,71,30/03/2019,Capital Centre,Nairobi,569.7,5984.55,92469.6
251,10,10,882,31/03/2019,Galleria Mall,Nairobi,553.5,5096.25,120043.35
495,14,6,846,01/04/2019,JKIA Arrival,Nairobi,368.55,9313.65,191857.95
319,11,12,609,02/04/2019,Valley Arcade,Nairobi,997.65,39768.3,286717.05
400,8,4,566,03/04/2019,Nyali Centre,Coast,710.1,62787.15,360209.7
353,8,6,811,04/04/2019,Galleria Mall,Nairobi,1212.3,34209,457088.4
320,12,14,724,05/04/2019,Nyali Centre,Coast,816.75,57110.4,284881.05
264,11,11,552,06/04/2019,Kimathi Street,Nairobi CBD,1317.6,30844.8,350823.15
301,14,14,763,07/04/2019,Thika Road Mall,Nairobi,525.15,48223.35,254900.25
239,11,5,516,08/04/2019,Galleria Mall,Nairobi,1216.35,49763.7,354098.25
345,10,9,150,09/04/2019,Capital Centre,Nairobi,1123.2,12857.4,380107.35
262,15,14,632,10/04/2019,Thika Road Mall,Nairobi,1117.8,25245,328201.2
257,12,13,991,11/04/2019,Galleria Mall,Nairobi,1193.4,43507.8,390017.7
286,6,6,724,12/04/2019,JKIA Arrival,Nairobi,1108.35,6026.4,294829.2
387,17,11,734,13/04/2019,Valley Arcade,Nairobi,972,25265.25,365451.75
416,12,13,190,14/04/2019,Kisumu Mega City,Western,469.8,36726.75,257673.15
102,8,9,187,15/04/2019,Kisumu Mega City,Western,369.9,67250.25,129771.45
329,14,10,627,16/04/2019,Galleria Mall,Nairobi,1270.35,32740.2,400204.8
459,11,5,759,17/04/2019,Capital Centre,Nairobi,961.2,55332.45,465488.1
266,14,8,889,18/04/2019,Kimathi Street,Nairobi CBD,1143.45,29930.85,327071.25
301,10,3,277,19/04/2019,JKIA Arrival,Nairobi,824.85,54031.05,292358.7
237,12,7,330,20/04/2019,JKIA Arrival,Nairobi,456.3,40736.25,148308.3
429,9,9,733,21/04/2019,Valley Arcade,Nairobi,464.4,59998.05,241564.95
90,12,13,877,22/04/2019,Nyali Centre,Coast,1031.4,28533.6,165098.25
206,6,8,480,23/04/2019,Valley Arcade,Nairobi,773.55,41324.85,196152.3
64,12,8,89,24/04/2019,Kisumu Mega City,Western,540,43025.85,76431.6
350,13,9,568,25/04/2019,JKIA Arrival,Nairobi,835.65,28960.2,290332.35
114,10,8,735,26/04/2019,Kisumu Mega City,Western,402.3,10895.85,79288.2
394,7,6,712,27/04/2019,JKIA Arrival,Nairobi,926.1,7538.4,355179.6
376,10,8,260,28/04/2019,Nyali Centre,Coast,610.2,2452.95,196620.75
58,11,14,351,29/04/2019,JKIA Arrival,Nairobi,1144.8,59134.05,149331.6
393,17,11,135,30/04/2019,Galleria Mall,Nairobi,652.05,16992.45,263590.2
178,7,4,446,01/05/2019,Nyali Centre,Coast,797.85,15341.4,131818.05
185,11,6,302,02/05/2019,Kisumu Mega City,Western,349.65,50039.1,91678.5
112,11,8,582,03/05/2019,Thika Road Mall,Nairobi,410.4,22519.35,89052.75
188,6,10,818,04/05/2019,JKIA Arrival,Nairobi,734.4,34824.6,158981.4
130,6,3,940,05/05/2019,Kimathi Street,Nairobi CBD,823.5,12100.05,126388.35
441,16,5,964,06/05/2019,Kisumu Mega City,Western,945,64837.8,480995.55
212,15,13,430,07/05/2019,Nyali Centre,Coast,633.15,57681.45,208834.2
468,8,8,493,08/05/2019,Valley Arcade,Nairobi,1040.85,58490.1,514636.2
338,15,2,82,09/05/2019,JKIA Arrival,Nairobi,1208.25,28258.2,392820.3
428,15,14,309,10/05/2019,Galleria Mall,Nairobi,1127.25,51780.6,481150.8
310,17,3,283,11/05/2019,Galleria Mall,Nairobi,378,10867.5,105165
280,8,10,564,12/05/2019,Kisumu Mega City,Western,823.5,1919.7,225759.15
90,9,14,908,13/05/2019,Kisumu Mega City,Western,444.15,2671.65,77724.9
77,7,11,357,14/05/2019,Kimathi Street,Nairobi CBD,583.2,40153.05,134424.9
184,14,8,788,15/05/2019,Nyali Centre,Coast,1336.5,31473.9,272461.05
250,15,13,845,16/05/2019,Kimathi Street,Nairobi CBD,481.95,35617.05,199590.75
377,17,11,119,17/05/2019,Nyali Centre,Coast,842.4,1844.1,280308.6
317,16,8,503,18/05/2019,Capital Centre,Nairobi,963.9,29311.2,284108.85
467,12,7,488,19/05/2019,Capital Centre,Nairobi,1048.95,48849.75,566011.8
82,12,4,874,20/05/2019,Valley Arcade,Nairobi,904.5,30634.2,127089
97,11,11,413,21/05/2019,Galleria Mall,Nairobi,346.95,49786.65,63533.7
456,8,4,815,22/05/2019,Galleria Mall,Nairobi,668.25,16764.3,341490.6
111,11,3,530,23/05/2019,Valley Arcade,Nairobi,861.3,55139.4,148680.9
265,17,12,193,24/05/2019,Kimathi Street,Nairobi CBD,426.6,40274.55,147957.3
342,13,7,73,25/05/2019,Valley Arcade,Nairobi,692.55,15291.45,263682
148,13,5,474,26/05/2019,Valley Arcade,Nairobi,371.25,17008.65,111730.05
221,16,6,795,27/05/2019,Thika Road Mall,Nairobi,417.15,42893.55,120291.75
409,14,4,894,28/05/2019,Nyali Centre,Coast,739.8,56250.45,396412.65
263,6,7,224,29/05/2019,Kisumu Mega City,Western,472.5,28844.1,178711.65
84,6,12,893,30/05/2019,Nyali Centre,Coast,912.6,18436.95,75054.6
498,8,13,374,31/05/2019,Capital Centre,Nairobi,1035.45,58703.4,545503.95
276,8,4,918,01/06/2019,Capital Centre,Nairobi,1147.5,45621.9,394407.9
150,15,9,720,02/06/2019,Kimathi Street,Nairobi CBD,540,30990.6,77251.05
480,13,10,909,03/06/2019,Galleria Mall,Nairobi,507.6,33624.45,306999.45
180,15,5,397,04/06/2019,Kisumu Mega City,Western,442.8,14862.15,116880.3
306,6,10,847,05/06/2019,Capital Centre,Nairobi,981.45,42812.55,348256.8
54,7,13,67,06/06/2019,Nyali Centre,Coast,1053,25080.3,92352.15
267,7,8,93,07/06/2019,JKIA Arrival,Nairobi,369.9,67212.45,242898.75
304,8,4,204,08/06/2019,Thika Road Mall,Nairobi,1285.2,33114.15,458485.65
447,11,8,916,09/06/2019,Kisumu Mega City,Western,390.15,33490.8,190582.2
408,6,2,971,10/06/2019,Galleria Mall,Nairobi,885.6,38781.45,399894.3
332,7,4,426,11/06/2019,Kisumu Mega City,Western,1055.7,61993.35,459041.85
442,6,7,792,12/06/2019,Valley Arcade,Nairobi,1219.05,54324,545228.55
256,10,5,932,13/06/2019,Kisumu Mega City,Western,1061.1,31191.75,297830.25
64,12,8,877,14/06/2019,Thika Road Mall,Nairobi,1148.85,48891.6,166615.65
395,13,4,451,15/06/2019,Nyali Centre,Coast,681.75,40130.1,248155.65
91,15,2,274,16/06/2019,Galleria Mall,Nairobi,1162.35,33920.1,168447.6
429,6,10,266,17/06/2019,Kisumu Mega City,Western,418.5,14071.05,153301.95
228,12,7,617,18/06/2019,Galleria Mall,Nairobi,1243.35,32039.55,308387.25
112,10,9,80,19/06/2019,Thika Road Mall,Nairobi,892.35,17610.75,147262.05
401,15,4,918,20/06/2019,Valley Arcade,Nairobi,1165.05,61866.45,448758.9
280,6,9,108,21/06/2019,JKIA Arrival,Nairobi,795.15,23537.25,256902.3
290,8,3,941,22/06/2019,JKIA Arrival,Nairobi,989.55,64342.35,409820.85
101,12,13,947,23/06/2019,Nyali Centre,Coast,870.75,36612,119669.4
145,15,5,402,24/06/2019,Kimathi Street,Nairobi CBD,1078.65,43127.1,221024.7
437,6,4,984,25/06/2019,Galleria Mall,Nairobi,419.85,37265.4,257077.8
271,12,11,494,26/06/2019,Thika Road Mall,Nairobi,398.25,9909,68987.7
456,10,2,284,27/06/2019,Galleria Mall,Nairobi,587.25,26210.25,300771.9
280,6,14,156,28/06/2019,Nyali Centre,Coast,499.5,7908.3,165377.7
286,6,14,240,29/06/2019,Nyali Centre,Coast,1220.4,42558.75,395212.5
192,6,8,579,30/06/2019,Galleria Mall,Nairobi,558.9,30910.95,145282.95
220,16,12,962,01/07/2019,JKIA Arrival,Nairobi,1325.7,52813.35,314697.15
78,14,11,787,02/07/2019,Kimathi Street,Nairobi CBD,679.05,15934.05,109139.4
85,16,3,728,03/07/2019,Galleria Mall,Nairobi,522.45,12236.4,59254.2
62,8,5,632,04/07/2019,Capital Centre,Nairobi,1136.7,28228.5,81365.85
209,10,10,923,05/07/2019,Thika Road Mall,Nairobi,1004.4,62644.05,274306.5
376,16,7,615,06/07/2019,Kimathi Street,Nairobi CBD,842.4,48344.85,367532.1
236,15,9,294,07/07/2019,Galleria Mall,Nairobi,900.45,29061.45,192696.3
292,17,3,911,08/07/2019,Kisumu Mega City,Western,1065.15,35567.1,333756.45
135,14,8,125,09/07/2019,Kimathi Street,Nairobi CBD,568.35,6920.1,68179.05
333,11,7,596,10/07/2019,Kisumu Mega City,Western,1345.95,66479.4,539172.45
115,17,14,316,11/07/2019,Kimathi Street,Nairobi CBD,1324.35,45432.9,154597.95
219,14,10,366,12/07/2019,JKIA Arrival,Nairobi,996.3,20229.75,252061.2
94,13,8,861,13/07/2019,Kisumu Mega City,Western,540,40101.75,144097.65
111,13,2,170,14/07/2019,Kimathi Street,Nairobi CBD,1026,8592.75,65785.5
490,6,9,885,15/07/2019,Kisumu Mega City,Western,410.4,65240.1,232482.15
183,14,12,74,16/07/2019,Valley Arcade,Nairobi,368.55,12911.4,128286.45
333,11,11,481,17/07/2019,Capital Centre,Nairobi,598.05,44216.55,221142.15
77,14,4,209,18/07/2019,Capital Centre,Nairobi,805.95,17586.45,165792.15
157,8,3,645,19/07/2019,Valley Arcade,Nairobi,1216.35,48817.35,196338.6
93,17,13,163,20/07/2019,Valley Arcade,Nairobi,1073.25,52736.4,173526.3
389,8,4,784,21/07/2019,Capital Centre,Nairobi,1089.45,45897.3,449631
335,11,12,949,22/07/2019,Capital Centre,Nairobi,768.15,41998.5,288974.25
495,14,7,551,23/07/2019,Nyali Centre,Coast,687.15,60386.85,409205.25
380,12,14,215,24/07/2019,Kisumu Mega City,Western,712.8,6551.55,267661.8
177,8,4,752,25/07/2019,Galleria Mall,Nairobi,1337.85,23240.25,243453.6
397,8,11,224,26/07/2019,Kisumu Mega City,Western,378,17774.1,134338.5
280,7,6,50,27/07/2019,Kimathi Street,Nairobi CBD,1215,66707.55,434531.25
239,14,7,948,28/07/2019,Valley Arcade,Nairobi,923.4,27108,256242.15
274,8,9,790,29/07/2019,JKIA Arrival,Nairobi,781.65,49812.3,270567
434,16,8,135,30/07/2019,Thika Road Mall,Nairobi,1071.9,46645.2,504754.2
426,10,12,623,31/07/2019,Galleria Mall,Nairobi,830.25,15379.2,362148.3
332,14,9,369,01/08/2019,Kisumu Mega City,Western,1221.75,17159.85,370232.1
495,13,4,450,02/08/2019,JKIA Arrival,Nairobi,1250.1,19957.05,601993.35
170,7,5,431,03/08/2019,Kimathi Street,Nairobi CBD,764.1,28545.75,144794.25
165,8,7,767,04/08/2019,Capital Centre,Nairobi,618.3,16850.7,138748.95
282,7,12,666,05/08/2019,Kisumu Mega City,Western,936.9,2650.05,236565.9
308,13,8,367,06/08/2019,Capital Centre,Nairobi,1260.9,59521.5,455319.9
408,11,10,852,07/08/2019,Thika Road Mall,Nairobi,550.8,65225.25,288378.9
247,11,14,299,08/08/2019,Kisumu Mega City,Western,967.95,23944.95,269013.15
460,17,2,574,09/08/2019,Nyali Centre,Coast,977.4,23742.45,413830.35
186,14,14,724,10/08/2019,Nyali Centre,Coast,1080,1818.45,184496.4
367,13,9,604,11/08/2019,Capital Centre,Nairobi,471.15,46348.2,251619.75
214,9,9,947,12/08/2019,Kisumu Mega City,Western,1062.45,55953.45,301172.85
274,17,7,672,13/08/2019,JKIA Arrival,Nairobi,1258.2,11048.4,332029.8
356,9,5,766,14/08/2019,Galleria Mall,Nairobi,519.75,11912.4,233092.35
283,14,4,945,15/08/2019,Thika Road Mall,Nairobi,577.8,53613.9,255224.25
221,6,12,305,16/08/2019,Kisumu Mega City,Western,1321.65,42117.3,349151.85
201,7,4,356,17/08/2019,Kisumu Mega City,Western,521.1,4317.3,118509.75
364,7,7,999,18/08/2019,Thika Road Mall,Nairobi,1202.85,42531.75,478984.05
423,11,14,193,19/08/2019,Thika Road Mall,Nairobi,835.65,21784.95,395551.35
209,9,9,707,20/08/2019,Capital Centre,Nairobi,587.25,25741.8,137797.2
145,16,8,440,21/08/2019,Kimathi Street,Nairobi CBD,1219.05,52267.95,264741.75
282,15,12,862,22/08/2019,Galleria Mall,Nairobi,788.4,54993.6,292211.55
229,8,2,725,23/08/2019,Valley Arcade,Nairobi,858.6,27832.95,208363.05
162,8,12,218,24/08/2019,Nyali Centre,Coast,700.65,64003.5,195467.85
367,8,7,347,25/08/2019,Kimathi Street,Nairobi CBD,938.25,28237.95,358177.95
491,11,8,282,26/08/2019,Galleria Mall,Nairobi,503.55,52407,277911
101,13,13,952,27/08/2019,Kimathi Street,Nairobi CBD,733.05,33358.5,140000.4
317,16,8,320,28/08/2019,Nyali Centre,Coast,1318.95,60721.65,464602.5
344,12,10,109,29/08/2019,Kimathi Street,Nairobi CBD,599.4,61398,279964.35
435,9,12,345,30/08/2019,JKIA Arrival,Nairobi,1003.05,7132.05,440036.55
436,16,12,516,31/08/2019,Kimathi Street,Nairobi CBD,666.9,63298.8,360143.55
162,17,11,284,01/09/2019,Nyali Centre,Coast,1120.5,55958.85,289229.4
150,9,6,726,02/09/2019,Capital Centre,Nairobi,469.8,53694.9,129795.75
162,16,2,755,03/09/2019,JKIA Arrival,Nairobi,1318.95,14640.75,184643.55
489,15,3,283,04/09/2019,Kimathi Street,Nairobi CBD,796.5,54608.85,424623.6
130,16,5,417,05/09/2019,JKIA Arrival,Nairobi,576.45,57586.95,77827.5
236,16,6,744,06/09/2019,Kisumu Mega City,Western,411.75,20476.8,142626.15
162,16,10,894,07/09/2019,Kimathi Street,Nairobi CBD,508.95,64342.35,142668
51,7,12,281,08/09/2019,Capital Centre,Nairobi,864,4648.05,29952.45
179,6,2,922,09/09/2019,Thika Road Mall,Nairobi,679.05,11267.1,145635.3
269,14,4,540,10/09/2019,Nyali Centre,Coast,1177.2,36910.35,343581.75
103,17,6,668,11/09/2019,Galleria Mall,Nairobi,773.55,39438.9,118971.45
392,17,4,552,12/09/2019,Kisumu Mega City,Western,589.95,44026.2,219187.35
273,7,5,939,13/09/2019,Kimathi Street,Nairobi CBD,962.55,2471.85,275328.45
274,13,4,784,14/09/2019,Thika Road Mall,Nairobi,1053,64878.3,376510.95
434,14,5,641,15/09/2019,JKIA Arrival,Nairobi,506.25,4299.75,259695.45
452,9,14,795,16/09/2019,Kimathi Street,Nairobi CBD,507.6,10813.5,206609.4
175,13,14,430,17/09/2019,Nyali Centre,Coast,375.3,2277.45,23255.1
179,14,2,745,18/09/2019,Kimathi Street,Nairobi CBD,1082.7,38847.6,259552.35
102,15,13,477,19/09/2019,Kisumu Mega City,Western,1009.8,63019.35,182151.45
221,15,9,746,20/09/2019,Capital Centre,Nairobi,818.1,45401.85,247783.05
267,10,5,695,21/09/2019,Kisumu Mega City,Western,1192.05,55768.5,413839.8
209,12,8,781,22/09/2019,Nyali Centre,Coast,1152.9,2228.85,230683.95
247,15,3,849,23/09/2019,Valley Arcade,Nairobi,930.15,37204.65,267096.15
465,9,3,413,24/09/2019,Thika Road Mall,Nairobi,1216.35,31750.65,562878.45
296,6,7,251,25/09/2019,Valley Arcade,Nairobi,545.4,34356.15,152622.9
373,8,3,931,26/09/2019,Nyali Centre,Coast,450.9,6126.3,190474.2
488,10,7,195,27/09/2019,Capital Centre,Nairobi,610.2,46624.95,369584.1
252,8,12,885,28/09/2019,Kimathi Street,Nairobi CBD,395.55,34638.3,155993.85
233,17,3,688,29/09/2019,Valley Arcade,Nairobi,874.8,51964.2,220476.6
172,16,5,506,30/09/2019,Nyali Centre,Coast,1285.2,33451.65,245855.25
450,12,8,184,01/10/2019,Capital Centre,Nairobi,378,11232,208778.85
304,17,9,675,02/10/2019,Kimathi Street,Nairobi CBD,461.7,44232.75,177395.4
343,14,4,313,03/10/2019,Capital Centre,Nairobi,795.15,12753.45,296568
329,17,14,113,04/10/2019,Valley Arcade,Nairobi,1282.5,59058.45,469822.95
374,11,10,540,05/10/2019,Kimathi Street,Nairobi CBD,657.45,41908.05,303397.65
421,15,3,696,06/10/2019,Capital Centre,Nairobi,850.5,11749.05,328750.65
147,6,9,90,07/10/2019,Kimathi Street,Nairobi CBD,379.35,65009.25,149979.6
247,12,9,345,08/10/2019,Nyali Centre,Coast,487.35,35640,173589.75
444,8,14,52,09/10/2019,Kisumu Mega City,Western,1336.5,6172.2,514075.95
289,10,5,962,10/10/2019,Kisumu Mega City,Western,1314.9,42815.25,413623.8
193,15,2,755,11/10/2019,Thika Road Mall,Nairobi,342.9,18099.45,14121
146,9,14,159,12/10/2019,JKIA Arrival,Nairobi,1301.4,54514.35,236534.85
250,15,2,270,13/10/2019,Capital Centre,Nairobi,984.15,55448.55,319291.2
173,10,3,419,14/10/2019,Nyali Centre,Coast,1216.35,66106.8,318793.05
236,10,13,417,15/10/2019,Kisumu Mega City,Western,797.85,34549.2,234050.85
375,11,10,485,16/10/2019,JKIA Arrival,Nairobi,859.95,31445.55,299863.35
398,15,14,967,17/10/2019,Kimathi Street,Nairobi CBD,832.95,51192,403038.45
308,17,3,53,18/10/2019,Kisumu Mega City,Western,1012.5,10112.85,265077.9
197,15,3,293,19/10/2019,Nyali Centre,Coast,479.25,37528.65,157847.4
301,16,7,951,20/10/2019,Galleria Mall,Nairobi,367.2,37484.1,125842.95
492,11,8,215,21/10/2019,JKIA Arrival,Nairobi,649.35,7268.4,277558.65
469,13,14,75,22/10/2019,Kisumu Mega City,Western,1051.65,28999.35,461578.5
452,13,8,444,23/10/2019,Galleria Mall,Nairobi,541.35,57794.85,310664.7
395,16,14,523,24/10/2019,Galleria Mall,Nairobi,1019.25,57985.2,444042
196,14,10,66,25/10/2019,Thika Road Mall,Nairobi,1318.95,7915.05,258275.25
197,13,7,777,26/10/2019,Nyali Centre,Coast,432,7350.75,87116.85
401,16,9,141,27/10/2019,Valley Arcade,Nairobi,1017.9,18727.2,354468.15
248,7,12,532,28/10/2019,Thika Road Mall,Nairobi,787.05,59216.4,271941.3
357,17,7,592,29/10/2019,Kisumu Mega City,Western,1216.35,9876.6,358049.7
466,15,3,254,30/10/2019,Kisumu Mega City,Western,517.05,48978,266453.55
473,17,2,551,31/10/2019,Capital Centre,Nairobi,1038.15,8041.95,444178.35
177,16,6,980,01/11/2019,Galleria Mall,Nairobi,1186.65,42570.9,241193.7
88,6,10,449,02/11/2019,Kisumu Mega City,Western,1293.3,24903.45,95304.6
387,15,9,256,03/11/2019,Nyali Centre,Coast,1028.7,53536.95,475622.55
409,7,14,668,04/11/2019,Capital Centre,Nairobi,841.05,16808.85,379300.05
178,7,5,195,05/11/2019,Capital Centre,Nairobi,962.55,43633.35,280422
316,17,6,928,06/11/2019,Galleria Mall,Nairobi,1217.7,16939.8,402710.4
490,8,14,150,07/11/2019,Kisumu Mega City,Western,915.3,48558.15,465808.05
483,15,6,929,08/11/2019,Kimathi Street,Nairobi CBD,368.55,59143.5,237782.25
200,12,7,879,09/11/2019,Kisumu Mega City,Western,1279.8,9737.55,232337.7
464,7,4,929,10/11/2019,Capital Centre,Nairobi,1035.45,58675.05,574028.1
347,6,6,290,11/11/2019,Kimathi Street,Nairobi CBD,1021.95,40614.75,376957.8
148,11,3,972,12/11/2019,Capital Centre,Nairobi,556.2,9757.8,122991.75
312,14,11,808,13/11/2019,Thika Road Mall,Nairobi,1004.4,29632.5,358653.15
301,8,2,212,14/11/2019,Galleria Mall,Nairobi,735.75,11990.7,222417.9
193,11,12,933,15/11/2019,JKIA Arrival,Nairobi,996.3,47677.95,205379.55
